Zip,Lon,Lat,State,Pop
01344,-72.45365,42.595603,MA,1730
01346,-72.830514,42.663577,MA,150
01349,-72.497251,42.571294,MA,950
01350,-72.95708,42.723296,MA,80
01351,-72.53151,42.542227,MA,2110
01354,-72.517858,42.633444,MA,1510
01355,-72.332266,42.509442,MA,800
01360,-72.451126,42.682244,MA,3020
01364,-72.296362,42.590181,MA,8020
01366,-72.191004,42.488553,MA,1270
01367,-72.90755,42.703358,MA,600
01368,-72.181713,42.673989,MA,1360
01370,-72.734751,42.601206,MA,4160
01373,-72.612365,42.476845,MA,4860
01375,-72.566351,42.45413,MA,3720
01376,-72.556736,42.597636,MA,5470
01378,-72.339198,42.670115,MA,770
01379,-72.403838,42.543734,MA,840
01420,-71.804062,42.579089,MA,41850
01430,-71.926578,42.6512,MA,6210
01431,-71.816347,42.675599,MA,3380
01432,-71.573167,42.560207,MA,7960
01434,-71.62061,42.531293,MA,1760
01436,-72.072964,42.602695,MA,3440
01440,-71.989317,42.57498,MA,21510
01450,-71.557627,42.612136,MA,11500
01451,-71.577718,42.499751,MA,5500
01452,-72.003096,42.486849,MA,4490
01453,-71.754345,42.526765,MA,41770
01460,-71.486552,42.539812,MA,9740
01462,-71.722154,42.587865,MA,10630
01463,-71.594772,42.669647,MA,12640
01464,-71.647231,42.558349,MA,8050
01468,-72.06185,42.551961,MA,4500
01469,-71.691559,42.654539,MA,6960
01473,-71.906384,42.550339,MA,7480
01474,-71.742359,42.670894,MA,2610
01475,-72.048023,42.677326,MA,10550
01501,-71.838933,42.204337,MA,16340
01503,-71.633425,42.382041,MA,3150
01504,-71.527457,42.030138,MA,9260
01505,-71.725327,42.340854,MA,4580
01506,-72.103186,42.194803,MA,3550
01507,-71.96424,42.138594,MA,13290
01510,-71.681378,42.418494,MA,14300
01515,-72.048129,42.217237,MA,2310
01516,-71.728207,42.057613,MA,8800
01518,-72.115482,42.123241,MA,3180
01519,-71.68801,42.199825,MA,6700
01520,-71.842485,42.340291,MA,14950
01521,-72.15981,42.057886,MA,2450
01522,-71.867259,42.377296,MA,3390
01523,-71.681927,42.469062,MA,8480
01524,-71.917244,42.240062,MA,7040
01527,-71.763698,42.197929,MA,13720
01529,-71.579087,42.033865,MA,3320
01531,-72.147601,42.316852,MA,970
